NRT Summary

Run Date,01-14-2022
Only Show Inventory Locations,No
Companies,"SOUTHERN TIRE MART, LLC"
All Plants,Yes
Customer,"P&S Transportation, Inc."
All Locations,Yes
Start Date,2021-10-01
End Date,2021-10-31
Include adjustments,No
Include casing credits,No
Include scraps,Yes
Include NRTs,Yes
Include rejects,Yes
Include Pending RARs,No
Group By 1,
Group By 2,
Group By 3,
Group By 4,
Group By 5,NRT Code
Threshold,None
Sort by percent,No

NRT Code,Description,Total,% of Total
2001,Crown Cut(s)/Puncture(s),2,20.00%
2002,Sidewall Cut(s)/Snag(s),1,10.00%
2010,Rock Drilling,1,10.00%
2202,Belt Separation (Radial Only),1,10.00%
2204,Liner Defect(s),1,10.00%
2205,Shoulder Separation,1,10.00%
2507,Plies Damaged During Buffing,1,10.00%
2604,Overall Tire Condition Not Acc,2,20.00%
Grand Total,,10,
Total:,***Grand Totals***
