NRT Summary

Run Date,01-14-2022
Only Show Inventory Locations,No
Companies,"SOUTHERN TIRE MART, LLC"
All Plants,Yes
Customer,"P&S Transportation, Inc."
All Locations,Yes
Start Date,2021-02-01
End Date,2021-02-28
Include adjustments,No
Include casing credits,No
Include scraps,Yes
Include NRTs,Yes
Include rejects,Yes
Include Pending RARs,No
Group By 1,
Group By 2,
Group By 3,
Group By 4,
Group By 5,NRT Code
Threshold,None
Sort by percent,No

NRT Code,Description,Total,% of Total
2105,Bead Seating/Rim Or Wheel Impr,1,25.00%
2202,Belt Separation (Radial Only),1,25.00%
2205,Shoulder Separation,1,25.00%
2301,Times Retreaded Exceeds Fleet,1,25.00%
Grand Total,,4,
Total:,***Grand Totals***
