NRT Summary

Run Date,01-14-2022
Only Show Inventory Locations,No
Companies,"SOUTHERN TIRE MART, LLC"
All Plants,Yes
Customer,"P&S Transportation, Inc."
All Locations,Yes
Start Date,2021-05-01
End Date,2021-05-31
Include adjustments,No
Include casing credits,No
Include scraps,Yes
Include NRTs,Yes
Include rejects,Yes
Include Pending RARs,No
Group By 1,
Group By 2,
Group By 3,
Group By 4,
Group By 5,NRT Code
Threshold,None
Sort by percent,No

NRT Code,Description,Total,% of Total
2001,Crown Cut(s)/Puncture(s),1,14.29%
2002,Sidewall Cut(s)/Snag(s),1,14.29%
2009,Pinch Shock,1,14.29%
2102,Worn Too Far,1,14.29%
2202,Belt Separation (Radial Only),1,14.29%
2206,Sidewall Blisters/Bumps,1,14.29%
2302,Casing Age Exceeds Fleet Specs,1,14.29%
Grand Total,,7,
Total:,***Grand Totals***
