NRT Summary

Run Date,01-14-2022
Only Show Inventory Locations,No
Companies,"SOUTHERN TIRE MART, LLC"
All Plants,Yes
Customer,"P&S Transportation, Inc."
All Locations,Yes
Start Date,2021-07-01
End Date,2021-07-31
Include adjustments,No
Include casing credits,No
Include scraps,Yes
Include NRTs,Yes
Include rejects,Yes
Include Pending RARs,No
Group By 1,
Group By 2,
Group By 3,
Group By 4,
Group By 5,NRT Code
Threshold,None
Sort by percent,No

NRT Code,Description,Total,% of Total
2001,Crown Cut(s)/Puncture(s),1,12.50%
2004,Run Under-Inflated,1,12.50%
2007,Excessive Sidewall Abrasion,1,12.50%
2102,Worn Too Far,1,12.50%
2202,Belt Separation (Radial Only),1,12.50%
2205,Shoulder Separation,1,12.50%
2206,Sidewall Blisters/Bumps,2,25.00%
Grand Total,,8,
Total:,***Grand Totals***
