NRT Summary

Run Date,01-14-2022
Only Show Inventory Locations,No
Companies,"SOUTHERN TIRE MART, LLC"
All Plants,Yes
Customer,"P&S Transportation, Inc."
All Locations,Yes
Start Date,2021-09-01
End Date,2021-09-30
Include adjustments,No
Include casing credits,No
Include scraps,Yes
Include NRTs,Yes
Include rejects,Yes
Include Pending RARs,No
Group By 1,
Group By 2,
Group By 3,
Group By 4,
Group By 5,NRT Code
Threshold,None
Sort by percent,No

NRT Code,Description,Total,% of Total
2001,Crown Cut(s)/Puncture(s),1,8.33%
2002,Sidewall Cut(s)/Snag(s),1,8.33%
2007,Excessive Sidewall Abrasion,1,8.33%
2013,Shock/Curbing Induced Belt Sep,1,8.33%
2016,Scrub Induced Belt Separation,1,8.33%
2202,Belt Separation (Radial Only),2,16.67%
2205,Shoulder Separation,1,8.33%
2302,Casing Age Exceeds Fleet Specs,4,33.33%
Grand Total,,12,
Total:,***Grand Totals***
